Name,Country,City,Type,Main Profile,Problem,Type of help,Company,Reg.No,Web,Public Phone,Additional phones,Short Phone,E-mail,WhatsApp,Location,Working days,Working hours,Non-working days,Working hours,Languages,Short description,Description,ID элемента
Kuldīgas bērnu krīzes un atbalsta centrs,Latvia,Kuldiga,Government,Church,"Abuse & Domestic Violence, Sexual Abuse, Parenting, Teenagers & Youth in transitional age",Location,Kuldīgas novada pašvaldības aģentūra “Sociālais dienests”,90001947311,https://socialais.kuldiga.lv/services/gimenu-atbalsta-centrs/,37163350107,,,soc.dienests@kuldiga.lv,,"Kalna iela 19, Kuldīga, LV-3301",,,,,"LV, EN, RU",The Family Support Centre,"For families and children in crisis, 24-hour social rehabilitation and psychological assistance, as well as for the child victim to regain physical and mental health and integrate into society.
 A rehabilitation course of up to 30 days, providing the family in crisis with psychological assistance, social rehabilitation, safe accommodation, meals and other assistance or complex rehabilitation for up to 60 days.
 The Family Support Centre can help you with:
 - difficulties in bringing up a child (including in the process of getting an education);
 - youth truancy;
 - family conflict situations;
 - crisis situations (e.g. parental divorce);
 - cases of violence;
 - Alcohol, drug, gambling problems and other cases of dependence and co-dependence.
 
 WE STRIVE TO HELP YOU and:
  - provide individual counselling and information;
  - discuss with the family and help them to find the strength to solve their own problems;
  - help you develop the skills you need to improve your family's situation;
  - assist in the process of adaptation and social rehabilitation;
  - involve and cooperate with professionals from other institutions in supporting the family;
  - organise educational and support groups for parents and children.",4087834549
Ģimenes atbalsta centrs/patversme,Latvia,Daugavpils,Government,Church,"Bedtime, Abuse & Domestic Violence, Sexual Abuse",Location,DAUGAVPILS VALSTSPILSĒTAS PAŠVALDĪBAS IESTĀDE “SOCIĀLAIS DIENESTS”,90001998587,http://www.socd.lv/?page_id=3051,37165442503,+37165442514,,lolita.bojarova@socd.lv,,"Šaurā ielā 26-1. un 2.stāvs, Daugavpils, LV-5410",7,24,,,"LV, RU, EN",The Family Support Centre/Shelter,"The Family Support Centre/Shelter 24/7 provides people in crisis situations with a crisis centre service and temporary accommodation. The client can also receive the crisis centre service without accommodation.
 The following are eligible for crisis centre services:
 - persons whose rented or owned dwelling or dwelling house has been damaged or partially destroyed as a result of a natural disaster or other emergency, fire;
 - families with children who are homeless;
 - victims of violence, families with children and other persons who, for objective reasons, cannot stay in their own place of residence, as determined by a social worker;
 - children who have strayed, been abandoned, left home or long-term social care and social rehabilitation institutions until they are handed over to their parents or placed in a childcare institution;
 - families with children, if the family is experiencing dangerous or unfavourable conditions for the child's development, health and life.
 The family support centre/shelter can be reached from the city centre by bus 3B and 3C, get off at the stop ""Šaurā iela"", look for the building Šaurā iela 26, 1st floor; ring the doorbell.",4100415469
Zantes ģimenes atbalsta centrs,Latvia,Tukuma novads,NGO,Church,"Abuse & Domestic Violence, Sexual Abuse, Teenagers & Youth in transitional age, Bedtime",Location,"Nodibinājums ""Zantes ģimenes atbalsta centrs""",40008151222,https://www.zanteberniem.lv/,37126353631,,,zanteberniem@inbox.lv,,"Skolas iela 4 Zantes pagasts, Tukuma novads LV-3134",7,24,,,"LV, RU, EN",Family crisis centre,"Target group for the services:
 - Children who have been neglected, victims of psychological, sexual and/or emotional abuse
 - children involved in criminal proceedings in need of a safe environment
 - families with children who are victims of unlawful acts
 - pregnant minors and mothers
 - people at risk of poverty and social exclusion
 
 In cases of violence and crisis situations, to provide children and families with children with in-patient social rehabilitation for up to 30 days.
 In cases of violence and crisis situations, provide children and families with children with in-patient social rehabilitation for up to 60 days, if criminal proceedings are initiated
 In cases of violence and crisis situations, provide children and families with children with outpatient social rehabilitation .
 Information and educational work with the public.",4101091170
Allažu bērnu un ģimenes atbalsta centrs,Latvia,Allaži,NGO,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,"Nodibinājums ""Allažu bērnu un ģimenes atbalsta centrs""",40008151059,https://www.allazukrizescentrs.lv/,37167869518,+37120024573,,info@allazukrizescentrs.lv,,"Stārķu iela 4, Allaži, Allažu pag., Siguldas nov., LV-2154",,,,,"LV, RU, EN",Family crisis centre,"Allaži Child and Family Support Centre provides the following services:
 Social rehabilitation service in an institution for children victims of illegal activities
 Institutional social rehabilitation service for adult victims of violence
 Psychological research and preparation of a psychologist's report
 Provides an assessment of the parents' skills in caring for and raising their child and their motivation to develop these skills.
 Crisis centre service",4101294968
Ģimenes atbalsta centrs,Latvia,Jekabpils,Government,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,Jēkabpils novada pašvaldība,90000024205,https://www.jekabpils.lv/lv/filiale/gimenes-atbalsta-centrs,37126829131,,,lilija.surkule@jekabpils.lv,,"Rīgas iela 237, Jēkabpils, Jēkabpils novads, LV-5202",7,24,,,"RU, LV, EN",Family crisis centre,Family support centre,4101435241
Atbalsta centrs Tilts,Latvia,Riga,NGO,Church,Parenting,Location,"Nodibinājums ""Kristīgās alianses bāreņiem ģimeņu atbalsta centrs ""Tilts""""",40008278853,https://atbalstacentrs.lv/,37125181900,,,info@atbalstacentrs.lv,,"Mārupes iela 16, Земгальское предместье, Рига, Латвия",,,,,"LV, RU, EN",Helping adoptive and foster families,"Helping adoptive and foster families, as well as guardians and adoptive parents, get adequate support and training.
 Free support groups for adoptive and foster parents.
 Sign up for a support group by phone or through the form on the website
 A place where adoptees and adoptive families can ask questions, discuss problems, learn from each other and from professionals, and receive emotional and spiritual support and encouragement. Support groups meet once a month. The content is developed by the group members themselves - based on current issues and needs at the time. The groups are open to current and prospective foster and adoptive families, as well as to caregivers and host families.",4103327418
Atbalsta centrs Tilts,Latvia,Ogre,NGO,Church,Parenting,Location,"Nodibinājums ""Kristīgās alianses bāreņiem ģimeņu atbalsta centrs ""Tilts""""",40008278853,https://atbalstacentrs.lv/,37125181900,,,info@atbalstacentrs.lv,,"Grīvas prospekts 4A, Ogre, Ogres pilsēta, Латвия",,,,,"LV, RU, EN",Helping adoptive and foster families,"Helping adoptive and foster families, as well as guardians and adoptive parents, get adequate support and training.
 Free support groups for adoptive and foster parents.
 Sign up for a support group by phone or through the form on the website
 A place where adoptees and adoptive families can ask questions, discuss problems, learn from each other and from professionals, and receive emotional and spiritual support and encouragement. Support groups meet once a month. The content is developed by the group members themselves - based on current issues and needs at the time. The groups are open to current and prospective foster and adoptive families, as well as to caregivers and host families.",4103416604
Atbalsta centrs Tilts,Latvia,Jelgava,NGO,Church,Parenting,Location,"Nodibinājums ""Kristīgās alianses bāreņiem ģimeņu atbalsta centrs ""Tilts""""",40008278853,https://atbalstacentrs.lv/,37125181900,,,info@atbalstacentrs.lv,,"Mātera iela 54, Jelgava, Латвия",,,,,"LV, RU, EN",Helping adoptive and foster families,"Helping adoptive and foster families, as well as guardians and adoptive parents, get adequate support and training.
 Free support groups for adoptive and foster parents.
 Sign up for a support group by phone or through the form on the website
 A place where adoptees and adoptive families can ask questions, discuss problems, learn from each other and from professionals, and receive emotional and spiritual support and encouragement. Support groups meet once a month. The content is developed by the group members themselves - based on current issues and needs at the time. The groups are open to current and prospective foster and adoptive families, as well as to caregivers and host families.",4103425905
Atbalsta centrs Tilts,Latvia,Sigulda,NGO,Church,Parenting,Location,"Nodibinājums ""Kristīgās alianses bāreņiem ģimeņu atbalsta centrs ""Tilts""""",40008278853,https://atbalstacentrs.lv/,37125181900,,,info@atbalstacentrs.lv,,"Raunas iela 8, Sigulda, Siguldas pilsēta, Латвия",,,,,"LV, RU, EN",Helping adoptive and foster families,"Helping adoptive and foster families, as well as guardians and adoptive parents, get adequate support and training.
 Free support groups for adoptive and foster parents.
 Sign up for a support group by phone or through the form on the website
 A place where adoptees and adoptive families can ask questions, discuss problems, learn from each other and from professionals, and receive emotional and spiritual support and encouragement. Support groups meet once a month. The content is developed by the group members themselves - based on current issues and needs at the time. The groups are open to current and prospective foster and adoptive families, as well as to caregivers and host families.",4103432296
Dienas centrs “Stropiņš”,Latvia,Riga,NGO,Church,"Teenagers & Youth in transitional age, Parenting",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv/en/social-center-posts/dienas-centrs-stropins/,37168610151,,,anita.lukso@redcross.lv,,"Slokas Street 161, Riga, LV-1067",,,,,"LV, RU, EN","Day Centre for children, age 7 to 18","Day Centre “Stropiņš”
 The Day Centre offers children, age 7 to 18, to spend their free time usefully, provides the necessary information and support to solve social issues, prevents roaming of children. The Day Centre offers children and youngsters to improve their social interaction and practical skills together with social worker, teachers and other specialists, to get new friends and participate at sports and cultural events, as well as different activities.",4103455470
"Dienas centrs ""Patverums""",Latvia,Riga,Church,Church,"Teenagers & Youth in transitional age, Parenting",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/patverums/,37167311463,+37128811743,,baiba.prieditestrode@pestisanasarmija.lv,,"Bruņinieku iela 10a, Центральный район, Rīga, LV-1001, Латвия",1-5,10:00-18:00,,,"LV, RU, EN",Day Centre for children,"Day centre for children
 Support families with children who are in difficulty due to long-term unemployment, addictions and other reasons.
 Provide the attention, care and social integration necessary for the full development of children and young people.
 Working hours
 September to May - weekdays from 10.00 to 18.00
 June, July and August - weekdays 9.00-17.00
 Two social workers are in direct contact with the children on a daily basis. In the holiday camps, all four workers and six to eight volunteers.
 
 Social services provided:
 - Meals twice a day.
 - A chance to take a shower and wash your clothes.
 - Help with homework.
 - Development of various skills.
 - A chance to relax and play.
 - Access to cultural activities and camps.
 - A practical expression of God's love.",4214057404
"Kopienas centrs ""Ābeļzieds""",Latvia,Riga,Government,Church,"Teenagers & Youth in transitional age, Parenting",Location,Rīgas pilsētas pašvaldība,90011524360,https://ld.riga.lv/lv/paklautibas-iestades/rigas-domes-socialais-dienests/Dienas_centri/kopienas-centrs.html?elid=341,37167012054,,,Katrina.Bianco@riga.lv,,"Dzirciema iela 24, Rīga, LV - 1007","1,2,4,5",8:30-18:00;8:30-17:00;8:30-16:00,,,"LV, RU, EN","Day Centre for children, age 7 to 18","Day Centre for children, age 7 to 18",4103603484
"Dienas centrs ""Kamene""",Latvia,Riga,Government,Church,"Teenagers & Youth in transitional age, Parenting",Location,Rīgas pilsētas pašvaldība,90011524360,https://ld.riga.lv/lv/paklautibas-iestades/rigas-domes-socialais-dienests/dienas-centri-berniem-un-jauniesiem.html?elid=353,37167181236,,,parsla.balke@riga.lv,,"Salnas iela 2, Латгальское предместье, Rīga, Латвия","1,2,4,5",8:30-18:00;8:30-17:00;8:30-16:00,,,"LV, RU, EN","Day Centre for children, age 7 to 18","Day Centre for children, age 7 to 18",4103583712
"Dienas centrs ""Vecmīlgrāvis""",Latvia,Riga,Government,Church,"Teenagers & Youth in transitional age, Parenting",Location,Rīgas pilsētas pašvaldība,90011524360,https://ld.riga.lv/lv/paklautibas-iestades/rigas-domes-socialais-dienests/dienas-centri-berniem-un-jauniesiem.html?elid=352,37167181515,+37167105229,,inese.rama@riga.lv,,"Emmas iela 3, Rīga","1,2,4,5",8:30-18:00;8:30-17:00;8:30-16:00,,,"LV, RU, EN","Day Centre for children, age 7 to 18","Day Centre for children, age 7 to 18",4103506546
Mobilā zupas virtuve,Latvia,Riga,Church,Church,Free food,Location,Nodibinājums “Latvijas Evaņģēliski luteriskās Baznīcas Diakonijas centrs”,40003203458,http://www.diakonija.lv/zupas-virtuve,37126479818,,,diakonija@diakonija.lv,,"Daugavgrīvas iela 1, Rīga, Latvija LV-1048",1-5,12:00,,,"LV, RU, EN",The Mobile Soup Kitchen,"The Mobile Soup Kitchen.
 Warm soup is distributed every weekday at 12.00 throughout the year. Target audience: the poor and low-income, homeless, elderly and lonely, pensioners, unemployed, single parents, large families, people with special needs, persons released from prison and others (anyone in need).",4216956364
Pārtikas apmaiņas punkts,Latvia,Rezekne,Food exchange point,Church,Free food,Location,,,,,,,,,"Zemnieku iela 16ARēzekne, LV-4601",,,,,"EN, LV, RU",Free Food Exchange Point,The Free Food Exchange is a place where anyone can drop off food and help those who need it more. It is a place to give help in the form of food and a place for others to receive this help.,4101973446
Rīgas patversme,Latvia,Riga,Government,Church,"Bedtime, Free food",Location,Rīgas valstspilsētas pašvaldība,90011524360,https://ld.riga.lv/lv/socialie-pakalpojumi-49/naktspatversmes.html,37167037120,+37167037680,,,,"Maskavas iela 208, Латгальское предместье, Рига, Латвия",7,24,,,"EN, LV, RU",MEN'S 24-hours Shelter,"Shelter for men.
 The shelter provides 24-hour accommodation for incapable persons, as well as for clients of the night shelter wards according to the opinion of the shelter doctor.",4073302605
Rīgas patversme,Latvia,Riga,Government,Church,"Bedtime, Free food",Location,Rīgas valstspilsētas pašvaldība,90011524360,https://ld.riga.lv/lv/socialie-pakalpojumi-49/naktspatversmes.html,37125498060,"+37167105241, +37167105634",,,,"Eiženijas iela 1e, Курземский район Риги, Рига, Латвия",7,24,,,"EN, LV, RU",WOMEN'S 24-hours Shelter,"Shelter for women.
 The shelter provides 24-hour accommodation.",4073336437
Patversme / Naktspatversme,Latvia,Riga,NGO,Church,"Bedtime, Free food",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv,37129884047,,,,,"Gaiziņa iela 7, Латгальское предместье, Рига, Латвия",7,24,,,"LV, RU, EN",24-hours shelter,24-hours shelter for men and women,4073420617
"Naktspatversme SIA ""V.E.L.G.""",Latvia,Riga,Commercial,Church,"Bedtime, Free food",Location,"SIA ""V.E.L.G.""",50003784281,https://ld.riga.lv/lv/socialie-pakalpojumi-49/naktspatversmes.html,37120038485,,,,,"Esplanādes iela 1, Курземский район Риги, Рига, Латвия",7,20:00-7:00,,,"EN, LV, RU",Night shelter,Night shelter for men and women,4073355200
"Patversme SIA ""V.E.L.G.""",Latvia,Riga,Commercial,Church,"Bedtime, Free food",Location,"SIA ""V.E.L.G.""",50003784281,https://ld.riga.lv/lv/socialie-pakalpojumi-49/naktspatversmes.html,37126199737,,,,,"Sofijas iela 8, Зиемельский район Риги, Рига, Латвия",7,24,,,"EN, LV, RU",24-hours shelter,24-hours shelter for men and women,4073391727
Naktspatversme sievietēm,Latvia,Riga,NGO,Church,"Bedtime, Free food",Location,Biedrība PINS,40008101236,https://ld.riga.lv/lv/socialie-pakalpojumi-49/naktspatversmes.html,37126191917,,,,,"Aptiekas iela 1 k-5, Зиемельский район Риги, Рига, Латвия",7,,,,"EN, LV, RU",Women's night shelter,Night shelter for women,4073498198
"""Labā cerība"" sociālās rehabilitācijas centrs vīriešiem",Latvia,Riga,NGO,Church,"Bedtime, Free food",Location,"Biedrība ""Labā cerība""",40008084294,https://ld.riga.lv/lv/socialie-pakalpojumi-49/naktspatversmes.html,37129264473,,,,,"Aglonas iela 35/3, Латгальское предместье, Рига, Латвия",7,,,,"EN, LV, RU",Social Rehabilitation Centre for Men,"""Labā cerība"" Social Rehabilitation Centre for Men",4086764733
"""Labā cerība"" sociālās rehabilitācijas centrs",Latvia,Riga,NGO,Church,"Bedtime, Free food",Location,"Biedrība ""Labā cerība""",40008084294,https://ld.riga.lv/lv/socialie-pakalpojumi-49/naktspatversmes.html,37129264473,,,,,"Gardenes iela 3-11, Земгальское предместье, Рига, Латвия",7,,,,"EN, LV, RU",Social Rehabilitation Centre for Women,"""Labā cerība"" Social Rehabilitation Centre for Women",4086756850
"Fonds ""Zilais Krusts""",Latvia,"Ledmane, Lielvardes novads",Church,Church,"Bedtime, Free food",Location,"DRZ ""EVAŅĢĒLISKO KRISTIEŠU DRAUDZE ""ZILAIS KRUSTS""""",90000165647,http://zilaiskrusts.lv/,37126068336,+37126429724,,zkrusts@zilaiskrusts.lv,,"„Lēdmane” – „Druvas”, Bekas, Lēdmanes pag., Lielvārdes nov., LV-5011",7,,,,"LV, EN, RU",Social Rehabilitation Centre,"Regional social rehabilitation centre for persons in crisis without a fixed place of residence.
 Active involvement of people in crisis (40 men) in solving their social problems, helping them to gain confidence, desire, courage and skills to start something new, as well as career choices, increasing their competitiveness on the labour market and reducing the risk of social exclusion.",4086820951
"Fonds ""Zilais Krusts""",Latvia,Riga,Church,Church,"Bedtime, Free food",Location,"DRZ ""EVAŅĢĒLISKO KRISTIEŠU DRAUDZE ""ZILAIS KRUSTS""""",90000165647,http://zilaiskrusts.lv/,37126068336,+37129802234,,zkrusts@zilaiskrusts.lv,,"Mazjumpravas iela 8, Латгальское предместье, Rīga, LV-1063, Латвия",7,,,,"LV, EN, RU",Men's night shelter,"A night shelter for men (150 beds)
 Shelter for men with reduced mobility (wheelchair users (up to 15 beds))
 Meals once a day.
 To provide a night shelter service for persons of no fixed abode who are in a crisis situation. Qualified professional help and support to prevent depression, addiction, various diseases and crimes, restoration of social functioning and successful integration into society. 
 During the summer period from May 1st to September 30th from 8 a.m. to 7 a.m; 
 During the autumnal period, from October 1st to October 31st from 6pm to 8am; 
 During the winter period from November 1 to March 1 from 5 p.m. to 9 a.m.; 10.2.4. During the spring period from March 2 to April 30 from 6 p.m. to 8 a.m. 10.2.5. if the air temperature at night is below -10ºC or the outside air temperature is below 0ºC and the wind speed is above 10 m/s, or in accordance with the conditions specified in the service contract",4086807696
“Betlēmes žēlsirdības mājā” sociālās rehabilitācijas centrs,Latvia,Riga,NGO,Church,"Bedtime, Substance use / addiction & codependency, Gambling, Free food",Location,"Nodibinājums ""Nova vita""",40008137356,http://www.novavita.lv/,37129804336,"+37129221901, +37126315685",,nova.vita.latvia@gmail.com,,"Katoļu iela 14A, Латгальское предместье, Рига, Латвия",,,,,"EN, LV, RU","Social rehabilitation center for people suffering from addiction (alcohol, drugs, etc.)","""Bethlehem House of Charity"" provides psychosocial support to people suffering from addiction (alcohol, drugs, etc.).
 - Duration of the rehabilitation program: 1 year.
 - everyday life and work in the community;
 work within the program """"12 steps on the road to freedom"""";
 - working together, we will look for opportunities to resume paid employment corresponding to the abilities of the community members;
 - length of stay 6 - 9 months rehabilitation, followed by a 6-month adaptation period;
 - All activities are Free",4086768878
"""Austra"" Īslaicīgās uzturēšanās mītne",Latvia,Riga,NGO,Church,"Bedtime, Free food",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/kontakti/islaicigas-uzturesanas-mitne,37165826394,,8898,,,"Dzērvju iela 1, Латгальское предместье, Rīga, Латвия",,,,,"LV, EN, RU",Short-term hostel for people and families who have lost their homes,"""Austra"" is a short-term hostel for people and families who have lost their homes.
 A short phone number is available 24/7
 Edgars Grotņš, head of IUM """"Austra"""", is available on Mondays from 9:00-13:00 and on Thursdays from 12:00-18:30.
 Liga Mata, social rehabilitator at IUM """"Austra"""", works on Mondays from 14:00-18:30, Tuesdays from 12:00-16:00, Wednesdays from 8:00-12:00, Thursdays from 8:00-12:00, Fridays from 8:00-12:00.",4087490512
“Centrs Elizabete”,Latvia,Jelgava,NGO,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,Biedrība Centrs Elizabete,50008032881,https://www.centrselizabete.lv/,37163020955,+37126672686,,centrselizabete@gmail.com,,"Filozofu iela 3A, Jelgava, Latvija, LV-3001",,,,,"LV, EN, RU",The Family Support Centre,"Long-term social care and social rehabilitation centre. Working with 
 - Children who have been orphaned by the death of their parents or who have been neglected;
 - children victims of violence;
 - young mothers with social problems;
 - children and families in crisis.
 - families at social risk.
 The long-term social care and social rehabilitation centre, the crisis centre, is designed to be as close to home as possible. The centre's model of care is a home with family activities and an individual plan for the child's growth and development and healthy care.
 Social worker 28800986",4087805894
"Ģimenes atbalsta centrs ""Zīļuks""",Latvia,Ergli,NGO,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,Gimenes atbalsta centrs Ziluks,40900007044,,37164829562,,,ziluks1@inbox.lv,,"“Jaunozoliņi”, Sidrabiņi, Sausnējas pag., Ērgļu novads, LV-4841",,,,,"LV, EN, RU",The Family Support Centre,"Family crisis center
 Short-term day care for up to six months. There are cosy rooms where clients can receive professional help.",4087783200
"Krīzes centrs ""Burtnieks""",Latvia,Riga,NGO,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,Biedrība Latvijas Sarkanais Krusts,40008002279,https://www.redcross.lv,37167202737,+37127338389,,,,"Burtnieku iela 37 (5 stavs), Видземское предместье, Rīga, LV-1084, Латвия",7,24,,,"LV, RU, EN",Family crisis centre,"Family crisis centre for families with children (51 places)
 temporarily (up to 6 months)
 - For women with children who have suffered violence
 - Women who need help to improve their skills and support with childcare.
 - Pregnant women.
 - Homeless women with children.
 - Women in crisis situations.
 24-hours contact phone
 Social workers:
 67202732 67202832",4070825864
"Krīzes centrs ""Mīlgrāvis""",Latvia,Riga,NGO,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,Biedrība Sociālo pakalpojumu attīstības centrs,40008107559,http://krize.lv/,37167398383,+371 26521248,,gimenes@krize.lv,,"Ezera iela 21, Rīga, LV - 1034",7,24,,,"EN, LV, RU",Family crisis centre,"Family crisis center
 - For women with children who have suffered violence
 - Women who need help to improve their skills and support with childcare.
 - Pregnant women.
 - Homeless women with children.
 - Women in crisis situations.
 +371 26521248 (working days 9.00-17.00)
 (15 places)",4070872466
Ģimenes atbalsta centrs,Latvia,Riga,Government,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,Rīgas valstspilsētas pašvaldība,90011524360,https://ld.riga.lv/lv/socialie-pakalpojumi-102/socialie-pakalpojumi-49/krizes-centri.html,37125403491,,,,,"Sudrabu Edžus iela 11, Rīga, LV1014",7,24,,,"LV, RU, EN",Family crisis centre,"Riga Municipality Children and Youth Centre """"Family Support Centre""""
 (14 places)
 24-hour contact phone (social educators) 
 - For women with children who have suffered violence
 - Women who need help to improve their skills and support with childcare.
 - Pregnant women.
 - Homeless women with children.
 - Women in crisis situations.
 Senior social worker - Laimdota Šulce, e-mail: laimdota.sulce@riga.lv , tel. 67181988, mobile phone. 26118164",4069004411
Preiļu novada Labklājības pārvaldes Krīzes centrs,Latvia,Preilu novads,Government,Church,"Abuse & Domestic Violence, Sexual Abuse, Bedtime",Location,Preiļu novada Labklājības pārvalde,90010825446,https://preili.lv/nozares/sociala-palidziba-un-pakalpojumi/labklajibas-parvalde/labklajibas-parvaldes-krizes-centrs/,37129298830,+37126569082,,,,"Jaunatnes iela 1, Līči, Preiļu pagasts, Preiļu novads, LV-5301",7,8:00-24:00,,,"LV, EN, RU",Family crisis centre,"The Crisis Centre offers social rehabilitation services for victims of violence, as well as accommodation for people in various crisis situations.",4087872495
Talsu sieviešu un bērnu krīžu centrs,Latvia,Talsu novads,NGO,Church,"Abuse & Domestic Violence, Sexual Abuse, Parenting, Bedtime",Location,Nodibinājums Talsu sieviešu un bērnu krīžu centrs,40003385597,https://krizucentrs.lv/,37163291147,,,info@krizucentrs.lv,,"“Zibeņi”, Ārlavas pag. , Talsu novads",7,24,,,"LV, EN, RU",Family crisis centre,"provide a state-funded service """"Social rehabilitation for adult victims of violence"""", taking children as companions.
 The rehabilitation programme provides a safe environment within a 30 or 60 day course and professional support:
 - counselling by a psychologist, a lawyer and a social worker,
 - group sessions to develop and improve social skills,
 - practical training in cooking, planning, childcare, which develops and improves life skills.
 In addition, there are zumba classes, art classes, relaxation classes with natural materials in the environmental aesthetics studio, outdoor activities, as well as excursions to natural and historical sites in the area and visits to cultural events.
 Psychological services can also be provided for children.",4088077027
Sociālais centrs Rīgā,Latvia,Riga,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/social-center/,37125440063,+37120427522,,anita.voznaja@pestisanasarmija.lv,,"Bruņinieku iela 10a, Центральный район, Rīga, LV-1001, Латвия",3-5,09:30 - 14:00,,,"LV, RU, EN",Social Centre The Salvation Army,"The Salvation Army Social Centre in Riga.
 The doors are open to anyone in a difficult situation in life:
 - large families, the disabled
 - those who have been granted the status of poor or low-income
 - pensioners
 - the unemployed
 - people without status.
 Centre provides a hot meal, clothing and shoes, and the opportunity to do laundry and take a shower.
 People are visited in their homes when needed. The centre employs a social worker who provides counselling and assistance, as far as possible, to those in Riga who are unable to do so themselves - helping them to arrange the necessary paperwork, as well as providing spiritual support. Attention! The Salvation Army Social Centre does not pay utility bills.
 On Wednesdays and Thursdays, the Riga Social Centre hosts church services and other activities: Bible classes, sewing group, chess games.
 
 After the classes, we fellowship together over a cup of tea. We believe that every person has the opportunity to learn and be trained to become a disciple and follower of Christ.",4214149032
"""PESTĪŠANAS ARMIJA"" Liepas korpuss",Latvia,Liepas pagasts,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/social-center/,37128617236,,,ilona.kaspare@pestisanasarmija.lv,,"Rūpnīcas iela 8, Лиепа, Лиепская волость, Латвия",2-5,12:30-16:00; 11:00-14:30;11:00-13:00;11:30-13:30,7,11:00-13:00,"LV, RU, EN",The Salvation Army Liepa Corps,"The Salvation Army Liepa Corps
 Weekly activities
 Tuesday:
 12:30 Soup kitchen
 14:00 Kid’s Club
 Wednesday:
 11:00 Walking
 12:30 Home League
 Thursday:
 11:00 Bible Study and
 Fellowship (In Latvian)
 Friday:
 11:30 Bible study,
 prayer time (In Russian)
 12:30 Soup kitchen
 Sunday:
 11.00 Service",4214203522
"""PESTĪŠANAS ARMIJA"" Sarkaņu ārpostenis",Latvia,Liepas pagasts,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/social-center/,37128617236,,,ilona.kaspare@pestisanasarmija.lv,,"“Sūnas”, Sarkaņi, Liepas pag., Priekuļu nov., LV-4128","3,5",15:00-18:00,,,"LV, RU, EN",The Salvation Army Sarkani outpost,"The Salvation Army Sarkani outpost
 Weekly activities:
 Wednesday:
 15.00-16.00 Women’s Fellowship. Lunch and food to take home. Shower and clothes distribution.
 Friday:
 15:00-16:00 Bible Study. Lunch and food to take home. Shower and clothes distribution.",4215429640
"""PESTĪŠANAS ARMIJA"" Rīgas 2 korpuss",Latvia,Riga,Church,Church,"Teenagers & Youth in transitional age, Parenting, Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/centers/riga-2/,37120015586,,,valerijs.strabikins@pestisanasarmija.lv,,"Varaklanu St. 1, Riga, LV-1019",2-5,12:00-20:00; 12:00-18:00;17:00-20:00,6,12:00-16:00,"LV, RU, EN",The Salvation Army Riga 2 Corps,"The Salvation Army Riga 2 Corps
 Weekly activities:
 Tuesday:
 12:00 Showers, giving out clothes, consultations
 17:00 Bible Study
 18:00 Fellowship
 Thursday:
 12:00 – 14:00 Counseling
 16:00 Feeding program “Naktssargs”
 Friday:
 17:00 Bible lesson
 18:00 Fellowship
 Saturday:
 12:00 Christian cinema
 13:00 Service and lunch
 Soldier meeting after the service
 
 Clothes distribution each day 10:00-15:00",4214858416
"""PESTĪŠANAS ARMIJA"" Ārpostenis Riga 3",Latvia,Riga,Church,Church,"Free food, Free stuff",Location,"DRZ ""PESTĪŠANAS ARMIJA""",90000158170,https://pestisanasarmija.lv/en/centers/riga-3/,37129194374,,,aldona.vaineike@pestisanasarmija.lv,,"Āgenskalna iela 3a, Rīga, LV-1007","1,2",10:00-15:00;10:00-19:00,7,11:00-13:00,"LV, RU, EN",The Salvation Army Riga 3 Outpost,"The Salvation Army Riga 3 Outpost
 Weekly activities:
 Monday:
 10:00-15:00 Showers and laundry
 Tuesday:
 10:00-15:00 Showers and laundry
 12:00 Giving out clothes (third Tuesday of the month)
 17:00 Bible group
 Sunday:
 11.00 Church service",4214918511
